,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h,Decay Rate mV/h
26,58.933,27,4,9,7.81,1.88,7,125,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.90529401,37.09470599,0,0,25,1440 ,0,0,0,0,300,120,0,0,0,0,0.35,0.09877,0,0,1,10,12,3.42
27,47.867,22,4,4,6.81,1.54,2,147,101.07,44,5,8,7.5,2.2,7,134,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,79.85456653,13.17732121,0.069681123,0,165,360 ,1,0,0,0,25,0,0,0,0,0,0.09,0.21,1,0,0.1,10,25,0.68
28,101.07,44,5,8,7.5,2.2,7,134,88.905,39,5,3,6.5,1.22,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,80,300 ,1,0,0,0,950,720,0,0,0,0,2,0.4,0,1,1,10,10,1
29,101.07,44,5,8,7.5,2.2,7,134,88.905,39,5,3,6.5,1.22,1,178,18.9984,9,2,17,18.6,3.98,0,73,0,0,0,0,0,0,0,0,35.64547206,35.64547206,0.287090559,0,80,300 ,1,0,0,0,400,1440,0,1,0,0,2,0.4,0,1,1,10,10,3.4
30,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,55,180 ,1,0,0,0,450,30,0,0,0,0,0.354,0,0,0,1,10,6,4.33
31,192.217,77,6,9,9.1,2.2,7,136,157.25,64,6,3,6.65,1.2,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,0,55,180 ,1,0,0,0,450,30,0,0,0,0,0.354,0,0,0,1,10,6,3.33
32,32.065,16,3,16,10.31,2.58,0,127,95.94,42,5,6,7.35,2.16,5,139,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,78.94736842,18.42105263,0.026315789,0,200,1200 ,0,0,0,0,25,0,0,0,0,0,0.112,0,0,1,1,10,40,0.55
33,101.07,44,5,8,7.5,2.2,7,134,87.62,38,5,2,5.67,0.95,10,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,25,,1,0,0,1,1200,600,0,0,0,0,0.5,0,0,0,1,10,30,1.5
34,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,,1,0,0,1,800,600,0,0,0,0,0.5,0,0,0,1,10,30,1.07
35,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,,1,0,0,1,800,600,0,0,0,0,4,0,0,0,1,10,30,0.57
36,192.217,77,6,9,9.1,2.2,7,136,95.94,42,5,6,7.35,2.16,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,80,720 ,1,0,0,0,500,180,0,0,0,0,0.5,0,0,1,1,10,50,1.9
37,192.217,77,6,9,9.1,2.2,7,136,95.94,42,5,6,7.35,2.16,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,80,720 ,1,0,0,0,500,180,0,0,0,0,0.5,0,0,1,1,100,50,1.94
38,58.933,27,4,9,7.81,1.88,7,125,140.116,58,6,3,6.91,1.12,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,80,360 ,0,0,0,0,400,60,0,0,0,0,490,0,0,1,1,5,0,1.12
39,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,80,360 ,0,0,0,0,400,60,0,0,0,0,490,0,0,1,1,5,0,1.2
40,58.933,27,4,9,7.81,1.88,7,125,140.116,58,6,3,6.91,1.12,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,80,360 ,0,0,0,0,400,60,0,0,0,0,490,0,0,1,0.1,5,0,1.06
41,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,80,360 ,0,0,0,0,400,60,0,0,0,0,490,0,0,1,0.1,5,0,1.1
42,101.07,44,5,8,7.5,2.2,7,134,88.905,39,5,3,6.5,1.22,1,178,87.62,38,5,2,5.67,0.95,10,215,0,0,0,0,0,0,0,0,50,42.5,0.075,0,80,720 ,0,0,0,0,900,360,0,0,0,0,0.071,0.284,0,0,1,10,28,0.04
43,101.07,44,5,8,7.5,2.2,7,134,55.845,26,4,8,7.83,1.83,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.00112333,41.99887667,0,0,180,300 ,0,0,1,0,250,60,0,0,0,1,0.178977272,0.102272727,0,0,1,5,9,8.56
44,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.16533159,34.83466841,0,0,25,1440 ,1,0,0,0,350,240,0,0,0,0,0.8492569,0,0,0,1,10,50,1.18
45,87.62,38,5,2,5.67,0.95,10,215,58.933,27,4,9,7.81,1.88,7,125,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,50,25,0.25,0,25,,1,0,0,1,1100,1440,0,0,0,0,0.255102,0.0510204,0,0,0.1,10,24,1.71
46,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.65593248,30.34406752,0,0,200,360 ,0,0,0,0,900,240,0,1,0,0,0.0905,0.8145,0,0,1,10,20,2.45
47,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,,1,0,0,0,550,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,38.17
48,183.84,74,6,6,7.98,2.36,4,141,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,43,0,0,25,,1,0,0,0,550,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,31.1
49,183.84,74,6,6,7.98,2.36,4,141,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,25,,1,0,0,0,550,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,176.72
50,183.84,74,6,6,7.98,2.36,4,141,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,25,,1,0,0,0,550,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,185.2
51,87.62,38,5,2,5.67,0.95,10,215,192.217,77,6,9,9.1,2.2,7,136,47.867,22,4,4,6.81,1.54,2,147,0,0,0,0,0,0,0,0,79.51807229,6.827309237,0.136546185,0,180,720 ,0,0,0,0,600,360,0,0,0,0,0.21,0,0,0,0.1,10,20,0.31
52,87.62,38,5,2,5.67,0.95,10,215,192.217,77,6,9,9.1,2.2,7,136,47.867,22,4,4,6.81,1.54,2,147,0,0,0,0,0,0,0,0,79.51807229,6.827309237,0.136546185,0,180,720 ,0,0,0,0,600,360,0,0,0,0,0.21,0,0,0,0.1,30,10,8.08
53,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,160,720 ,0,0,0,0,350,240,0,0,0,0,0.275,0,0,0,1,10,20,16
54,101.07,44,5,8,7.5,2.2,7,134,114.818,49,5,13,8.95,1.78,10,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.00418196,24.99581804,0,0,160,720 ,0,0,0,0,350,240,0,0,0,0,0.275,0,0,0,1,10,20,2.7
55,32.065,16,3,16,10.31,2.58,0,127,63.546,29,4,11,7.69,1.9,10,128,101.07,44,5,8,7.5,2.2,7,134,192.217,77,6,9,9.1,2.2,7,136,33.33333333,33.33333333,0.166666667,0.166666667,240,60 ,1,0,1,0,25,0,0,0,0,0,0.012,0.06,1,0,0.1,100,100,0.44
56,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,1440 ,0,0,0,0,300,240,0,0,0,0,0.275,0,0,0,1,10,8,10.38
57,55.845,26,4,8,7.83,1.83,6,126,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.43230404,41.56769596,0,0,150,720 ,0,0,0,0,400,360,0,0,0,0,0.1716,0.0284,0,1,0.1,10,11.111,2.53
58,55.845,26,4,8,7.83,1.83,6,126,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.43230404,41.56769596,0,0,150,720 ,0,0,0,0,400,360,0,0,0,0,0.1716,0.0284,0,1,0.1,30,5.556,9.77
59,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,150,720 ,0,0,0,0,600,360,0,0,0,0,0.2,0,0,1,0.1,10,11.111,5.15
60,192.217,77,6,9,9.1,2.2,7,136,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,43.66294726,42.45777869,0.13879274,0,180,30 ,1,0,0,0,550,30,0,1,0,0,0.05,0.094927,0,0,1,10,40,2.85
61,192.217,77,6,9,9.1,2.2,7,136,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,43.66294726,42.45777869,0.13879274,0,180,30 ,1,0,0,0,550,30,0,1,0,0,0.05,0.094927,0,0,0.1,10,45,2.11
62,192.217,77,6,9,9.1,2.2,7,136,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,43.66294726,42.45777869,0.13879274,0,180,30 ,1,0,0,0,750,30,0,1,0,0,0.05,0.12857142,0,0,1,10,30.36,7.77
63,192.217,77,6,9,9.1,2.2,7,136,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,43.66294726,42.45777869,0.13879274,0,180,30 ,1,0,0,0,750,30,0,1,0,0,0.05,0.12857142,0,0,0.1,10,45,2.13
64,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9,2.1,0,0,180,180 ,1,0,1,0,25,0,0,0,0,0,0.1632648,0.0408162,0,0,1,5,20,1.7
65,192.217,77,6,9,9.1,2.2,7,136,138.905,57,6,3,5.5,1.1,1,187,137.327,56,6,2,5.19,0.89,10,222,0,0,0,0,0,0,0,0,33.33333333,33.33333333,0.333333333,0,25,,1,0,0,0,1200,240,0,0,0,0,1,0,0,0,0.1,10,7,10.71
66,183.84,74,6,6,7.98,2.36,4,141,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,12.5,0,0,60,120 ,1,0,0,0,780,600,0,1,0,0,0.001446309,0.019514691,1,0,1,10,10,2.85
67,22.9897,11,3,1,5.12,0.93,0,190,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,25,0 ,0,0,0,0,350,3,0,0,0,0,0.03125,0,0,0,1,10,6,5.67
68,22.9897,11,3,1,5.12,0.93,0,190,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,25,0 ,0,0,0,0,350,3,0,0,0,0,0.03125,0,0,0,1,1,6,1.83
69,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,160,720 ,0,0,0,0,25,0,0,0,0,0,0.02140127,0.0856,0,0,0.1,10,5,7
70,192.217,77,6,9,9.1,2.2,7,136,140.116,58,6,3,6.91,1.12,1,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,25,1440 ,1,0,0,0,500,60,0,0,0,0,0.024,0.376,0,1,1,10,100,0.4
71,101.07,44,5,8,7.5,2.2,7,134,54.938,25,4,7,7.4,1.56,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,25,480 ,1,0,0,0,800,420,0,0,0,0,0.2,0,0,1,1,10,700,0.01
72,51.996,24,4,6,6.74,1.66,4,130,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,25,1080 ,1,0,0,0,550,240,0,0,0,0,0.283085,0.283085,0,0,1,10,10,6.4
73,55.845,26,4,8,7.83,1.83,6,126,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,25,,1,0,0,0,450,30,0,0,0,0,1,0,0,1,1,10,56.67,2.38
74,55.845,26,4,8,7.83,1.83,6,126,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,25,,1,0,0,0,450,30,0,0,0,0,1,0,0,1,0.01,10,84.32,1.33
75,192.217,77,6,9,9.1,2.2,7,136,55.845,26,4,8,7.83,1.83,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,280,120 ,1,0,1,0,25,0,0,0,0,0,5,0.458598,0,0,1,10,3.888888888,18.26
76,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,280,120 ,1,0,1,0,25,0,0,0,0,0,5,0.458598,0,0,1,10,3.888888888,4.11
77,192.217,77,6,9,9.1,2.2,7,136,58.6934,28,4,10,7.61,1.91,8,124,55.845,26,4,8,7.83,1.83,6,126,0,0,0,0,0,0,0,0,33.33333333,33.33333333,0.333333333,0,300,120 ,0,0,1,0,25,0,0,0,0,0,0.130117708,0.520470833,0,0,0.5,10,5.555555555,2.57
78,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-77,2 ,0,0,0,0,300,120,0,0,0,0,0.75,0,0,1,6,10,120,0.34
79,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-77,2 ,0,0,0,0,300,120,0,1,0,0,0.43,0,0,1,6,10,28.36,3
80,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-77,2 ,0,0,0,0,300,120,0,1,0,0,0.74,0,0,1,6,10,16.87,3.08
81,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-77,2 ,0,0,0,0,350,120,0,1,0,0,0.72,0,0,1,6,10,120,1.18
82,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,180,180 ,0,0,1,0,25,0,0,0,1,0,0.12,0.48,0,0,0.1,10,12,5
83,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,180,780 ,0,0,1,0,25,0,0,0,0,0,0.12,0.48,0,0,0.1,10,12,4.9
84,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,150,240 ,0,0,1,0,250,0,0,0,0,0,0.14,0.574285714,0,0,1,10,5,34
85,88.905,39,5,3,6.5,1.22,1,178,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.54545455,45.45454545,0,0,80,420 ,1,0,0,0,550,120,0,0,0,0,0.026315789,0.026315789,0,0,1,10,5,83.4
86,54.938,25,4,7,7.4,1.56,5,127,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12074528,15.87925472,0,0,25,2880 ,1,0,0,0,220,360,0,0,0,0,4,0,0,1,1,10,650,0.02
87,54.938,25,4,7,7.4,1.56,5,127,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.10205724,31.89794276,0,0,25,2880 ,1,0,0,0,220,360,0,0,0,0,4,0,0,1,1,10,20,2.4
88,54.938,25,4,7,7.4,1.56,5,127,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14283212,40.85716788,0,0,25,2880 ,1,0,0,0,220,360,0,0,0,0,4,0,0,1,1,10,20,2.5
